date,LabID,Year,Month,LABPH,SPCOND,CA,MG,Sodium,K,NH4,SO4,NO3,CL,WSOC,LWC,Hplus
7/18/1994 17:00,,1994,7,2.79,826.1,17.465,6.584,4.35,3.0684,711.6724,2228.81,310.8564,39.494,,0.35,1621.810097
7/18/1994 18:00,,1994,7,2.98,545.6,9.98,4.115,3.045,2.0456,525.0042,1378.946,223.0548,24.5427,,0.43,1047.128548
7/19/1994 2:00,,1994,7,3.29,267.3,7.984,2.469,1.305,1.2785,236.6686,641.564,112.98,11.0019,,0.83,512.861384
7/19/1994 2:54,,1994,7,3.25,288.2,8.982,2.469,1.305,1.2785,260.5576,695.722,133.6392,12.9766,,0.88,562.3413252
7/19/1994 3:15,,1994,7,3.25,283.8,8.982,2.469,1.74,1.0228,243.3353,681.141,134.4462,12.6945,,0.94,562.3413252
7/19/1994 4:13,,1994,7,3.28,265.1,9.481,2.469,1.305,1.0228,218.3351,637.398,125.7306,11.8482,,1.03,524.8074602
7/19/1994 5:13,,1994,7,3.31,253,10.479,3.292,1.305,1.0228,234.4463,601.987,127.9902,12.1303,,1,489.7788194
7/19/1994 7:00,,1994,7,3.27,271.7,13.972,4.115,1.305,1.0228,265.5577,637.398,161.5614,14.105,,0.83,537.0317964
7/19/1994 8:00,,1994,7,3.25,302.5,67.365,21.398,2.61,1.7899,348.3361,622.817,341.6838,21.7217,,0.71,562.3413252
7/19/1994 9:00,,1994,7,3.26,252,57.385,18.929,2.175,1.7899,384.4475,633.232,301.6566,20.8754,,0.77,549.5408739
7/19/1994 9:45,,1994,7,3.25,252,56.387,20.575,2.61,2.0456,422.7812,693.639,293.748,21.1575,,0.43,562.3413252
7/19/1994 10:00,,1994,7,3.24,260,57.385,20.575,2.175,1.7899,416.67,714.469,290.8428,20.8754,,0.06,575.4399373
7/22/1994 8:00,,1994,7,4.32,44.2,20.958,11.522,5.22,1.2785,192.7793,125.6049,48.2586,6.4883,,1.01,47.86300923
7/22/1994 9:00,,1994,7,3.77,82.8,9.481,4.115,4.785,0.7671,82.22288,191.636,68.4336,8.7451,,0.98,169.8243652
7/22/1994 10:00,,1994,7,3.55,125.6,11.976,4.115,5.655,1.0228,100.0008,287.454,107.1696,12.1303,,0.91,281.8382931
7/22/1994 11:00,,1994,7,3.35,200.4,13.473,4.938,7.395,1.7899,187.7793,524.916,132.9936,14.3871,,0.52,446.6835922
7/22/1994 16:00,,1994,7,3.43,176.2,11.477,4.938,6.525,1.7899,556.6711,531.165,91.5138,9.0272,,0.41,371.5352291
7/22/1994 17:00,,1994,7,3.32,223.7,15.968,5.761,7.395,2.0456,1.66668,679.058,110.7204,11.0019,,0.43,478.6300923
7/22/1994 18:00,,1994,7,3.04,433.5,35.928,11.522,18.705,4.8583,578.338,1376.863,205.1394,22.2859,,0.17,912.0108394
7/22/1994 19:00,,1994,7,3.05,425,42.415,13.991,20.01,5.8811,620.5605,1297.709,228.7038,26.2353,,0.16,891.2509381
7/22/1994 20:00,,1994,7,3.27,256.5,24.451,8.23,8.7,2.557,342.2249,726.967,153.0072,14.3871,,0.31,537.0317964
7/22/1994 21:00,,1994,7,3.48,158,13.473,4.115,4.35,1.5342,203.335,439.513,85.7034,7.3346,,0.61,331.1311215
7/22/1994 22:00,,1994,7,3.58,124.7,7.984,2.469,2.61,1.0228,163.3346,349.944,60.0408,5.0778,,0.73,263.0267992
7/22/1994 22:55,,1994,7,3.33,213.1,15.469,6.584,8.7,3.5798,223.3351,708.22,96.5172,11.5661,,0.13,467.7351413
7/22/1994 0:00,,1994,7,3.44,159.6,15.469,4.115,3.915,1.5342,220.5573,466.592,107.1696,7.8988,,0.29,363.0780548
7/23/1994 1:00,,1994,7,3.68,96,9.481,2.469,1.74,1.0228,138.3344,268.707,65.6898,4.5136,,0.8,208.9296131
7/23/1994 2:00,,1994,7,3.67,102.4,6.986,2.469,2.175,1.0228,147.2234,279.122,66.981,4.7957,,0.83,213.796209
7/23/1994 2:53,,1994,7,3.68,99,5.988,2.469,3.045,1.2785,145.5567,274.956,63.1074,4.5136,,0.75,208.9296131
7/23/1994 4:00,,1994,7,3.73,102.4,5.489,2.469,3.045,1.5342,151.6679,264.541,69.402,5.0778,,0.57,186.2087137
7/23/1994 5:00,,1994,7,3.93,67.3,2.994,1.646,2.175,1.2785,95.00076,166.2234,53.262,3.3852,,0.61,117.4897555
7/23/1994 6:00,,1994,7,3.89,68.1,2.994,1.646,1.305,1.2785,63.33384,163.7238,51.8094,2.2568,,0.76,128.8249552
7/23/1994 7:00,,1994,7,3.68,105.7,3.493,1.646,1.74,1.2785,68.33388,235.379,76.5036,3.6673,,0.81,208.9296131
7/23/1994 8:00,,1994,7,3.46,169.4,4.491,2.469,2.175,1.2785,101.6675,358.276,137.19,7.0525,,0.72,346.7368505
7/23/1994 9:00,,1994,7,3.38,201,5.489,2.469,3.045,1.5342,118.3343,454.094,150.7476,8.7451,,0.62,416.8693835
7/23/1994 10:00,,1994,7,3.25,268.2,7.984,3.292,3.915,1.7899,197.2238,654.062,170.1156,10.7198,,0.44,562.3413252
7/23/1994 11:00,,1994,7,3.22,295.7,7.984,3.292,5.22,2.8127,188.3348,724.884,168.663,12.1303,,0.43,602.5595861
7/23/1994 18:45,,1994,7,3.51,187.6,27.445,10.699,3.48,5.6254,422.2256,547.829,169.47,14.6692,,0.16,309.0295433
7/23/1994 21:00,,1994,7,3.35,274.5,69.361,21.398,3.48,6.9039,690.5611,806.121,296.6532,27.3637,,0.11,446.6835922
7/23/1994 22:00,,1994,7,3.59,151.8,42.415,16.46,1.74,3.3241,348.3361,412.434,194.487,15.7976,,0.39,257.0395783
7/25/1994 2:00,,1994,7,3.69,212.8,60.379,22.221,8.265,16.8762,1135.565,612.402,130.0884,30.4668,,0.13,204.1737945
7/25/1994 4:00,,1994,7,3.69,149.7,30.439,10.699,2.61,4.6026,449.448,377.023,185.1258,18.6186,,0.23,204.1737945
7/25/1994 4:10,,1994,7,3.83,111.8,25.948,9.876,2.175,3.5798,337.7805,281.205,140.7408,11.5661,,0.44,147.9108388
7/26/1994 4:21,,1994,7,2.94,488.8,71.357,18.929,6.09,8.1824,1157.231,1553.918,455.3094,46.5465,,0.12,1148.153621
7/27/1994 3:00,,1994,7,4.32,86,119.76,16.46,7.395,7.4153,233.3352,268.707,160.7544,15.2334,,0.1,47.86300923
7/28/1994 10:52,,1994,7,4.47,21.4,2.994,0.823,0.87,0.2557,15.55568,46.2426,10.0068,0.8463,,1.03,33.88441561
7/28/1994 11:43,,1994,7,4.53,17.4,0.499,0.823,0.87,0.2557,11.66676,29.7869,8.7156,0.5642,,1.16,29.51209227
7/28/1994 13:00,,1994,7,4.31,29.4,0.998,0.823,0.87,0.2557,19.4446,49.5754,14.6874,0.8463,,0.86,48.97788194
7/28/1994 14:00,,1994,7,4.15,38.3,0.998,0.823,0.87,0.2557,23.33352,81.0287,15.0102,0.8463,,0.68,70.79457844
7/28/1994 14:50,,1994,7,4.33,27.3,1.497,0.823,0.87,0.5114,16.11124,54.9912,10.6524,1.1284,,0.91,46.77351413
7/28/1994 16:00,,1994,7,4.44,23.9,0.499,0.823,0.87,0.2557,12.77788,39.3687,9.3612,0.8463,,0.89,36.30780548
7/28/1994 17:00,,1994,7,4.55,17.9,0.499,0.823,0.87,0.2557,10.00008,23.7462,9.5226,0.5642,,0.97,28.18382931
